Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#burnsCalories,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#coversDistance,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesAerobicExcercise,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesAerobicWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesAnaerobicExcercise,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesAthleticSports,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesBoxing,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesExcercise,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesFlexibilityExcercise,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesHiking,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesLawnAndGarden,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesLeisurelyWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesLightRunning,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesLongWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesMasonry,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesOccupationalAcitivity,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesPhysicalActivity,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesPlumbing,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesRunning,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesStretching,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesTrimming,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesUphillWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#DoesVigorousRunning,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesVigorousWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesWalk,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesWeeding,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesWeightLifting,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#doesYoga,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasAvgSpeed,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasDuration,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasIntensity,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasPhysicalMeasure,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasRunDuration,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasSpeed,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasTotalStepCounts,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#hasWalkDuration,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#physicalActivityDataProperty,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#playBasketBall,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#playSoccer,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#playTennis,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Education,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasAddress,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasCareer,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasCommunityMember,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasMember,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasPersonalInfo,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#hasSocialStatus,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#isBornOn,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#isInterestedIn,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#isMemberOfCommunity,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalDataProperty,http://protege.stanford.edu/webprotege/revision,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/title
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Sophomore,Sophomore,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Undergrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Boxing,Boxing,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AthleticSports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Tennis,Tennis,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AthleticSports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#UnspecifiedGender,Unspecified,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SupportGroup,SupportGroup,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OfflineCommunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Above65,Above65,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Undergrad,Undergrad,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Arts,Arts,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Soccer,Soccer,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AthleticSports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Trimming,Trimming,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LawnAndGarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#35to50,35to50,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Weeding,Weeding,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LawnAndGarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Education,Education,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalInfomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Yoga,Yoga,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#FlexibilityExcercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AerobicWalk,AerobicWalk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Stretching,Stretching,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#FlexibilityExcercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Sciences,Sciences,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,AgeGroup,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#TaxonomicMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LeisurelyWalk,LeisurelyWalk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LongWalk,LongWalk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Female,Female,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#18to35,18to35,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Male,Male,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OnlineCommunity,OnlineCommunity,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialCommunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AnaerobicExcercise,AnaerobicExcercise,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Excercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AerobicExcercise,AerobicExcercise,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Excercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#UphillWalk,UphillWalk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Graduate,Graduate,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialEntity,SocialEntity,,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#CompetitionTeam,CompetitionTeam,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OfflineCommunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OtherRace,OtherRace,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,Race,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#TaxonomicMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AthleticSports,AthleticSports,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#PhysicalActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Transgender,Trans,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Running,Running,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AerobicExcercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AfricanAmerican,AfricanAmerican,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Basketball,Basketball,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AthleticSports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Address,Address,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalInfomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalInfomation,PersonalInfomation,,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Native,Native,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#50to65,50to65,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#PhysicalActivity,PhysicalActivity,,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Under18,Under18,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#AgeGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#FlexibilityExcercise,FlexibilityExcercise,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Excercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Freshman,Freshman,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Undergrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LightRunning,LightRunning,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,Career,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalInfomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#WhiteAndHispanic,WhiteAndHispanic,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Neighbourhood,Neighbourhood,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OfflineCommunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Person,Person,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SeniorStudent,SeniorStudent,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Undergrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Plumbing,Plumbing,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#OccupationalAcitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Masonry,Masonry,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#OccupationalAcitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#WhiteAndNonHispanic,WhiteAndNonHispanic,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Gender,Gender,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#TaxonomicMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#TwoOrMore,TwoOrMore,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,Walk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AerobicExcercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#WeightLifting,WeightLifting,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#AnaerobicExcercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Excercise,Excercise,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#PhysicalActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Music,Music,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Hawaiian,Hawaiian,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#OccupationalAcitivity,OccupationalAcitivity,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#PhysicalActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#JuniorStudent,JuniorStudent,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Undergrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Philosophy,Philosophy,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#VigorousWalk,VigorousWalk,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#TaxonomicMeasure,TaxonomicMeasure,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#PersonalInfomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#OfflineCommunity,OfflineCommunity,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialCommunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Medicine,Medicine,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Hiking,Hiking,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#VigorousWalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Asian,Asian,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#RaceCompitition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialCommunity,SocialCommunity,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#SocialEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#VigorousRunning,VigorousRunning,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#LawnAndGarden,LawnAndGarden,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/physical-activity.owl#OccupationalAcitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#HighSchool,HighSchool,,,false,,,http://aimlab.cs.uoregon.edu/smash/ontologies/smash-ontology#Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
